document1,document2,label,antecedent,
입 막고 ,"이 공간 같은 집에 있는 사람들이 다 자고 있고 저랑 이 오빠만 남은 상황인 거잖아요. 그런데 뭔가 좀 무서워서
어떤 점이 무서웠을까? 
여기서 내가 엄청 저항하면은 더 해코지 할까봐 
더 해코지 한다는 건 어떤 말이야? 
막... 소리... 저항하면은 막 소리도 나고 그러니까",,이 오빠,
어디 데려가거나,"이 공간 같은 집에 있는 사람들이 다 자고 있고 저랑 이 오빠만 남은 상황인 거잖아요. 그런데 뭔가 좀 무서워서
어떤 점이 무서웠을까? 
여기서 내가 엄청 저항하면은 더 해코지 할까봐 
더 해코지 한다는 건 어떤 말이야? 
막... 소리... 저항하면은 막 소리도 나고 그러니까 입 막고",,이 오빠,
때리거나 그럴까봐,"이 공간 같은 집에 있는 사람들이 다 자고 있고 저랑 이 오빠만 남은 상황인 거잖아요. 그런데 뭔가 좀 무서워서
어떤 점이 무서웠을까? 
여기서 내가 엄청 저항하면은 더 해코지 할까봐 
더 해코지 한다는 건 어떤 말이야? 
막... 소리... 저항하면은 막 소리도 나고 그러니까 입 막고 어디 데려가거나",,이 오빠,
그렇게 하면 너무 부자연스러워 보일까봐,"이렇게 제 손을 잡고 있잖아요.
어, 어. 
그런데 거기서",,제,
음... 근데 모른 것 같애요. ,"아, 그러면 니가 그래 인제 띄우되 힘을 많이 안 주는 그 손 모양을 했을 때 얘는 몰랐을 것 같애? 그렇게 니가 했으면? 알 수 있지 않았을까? 약간 손에 힘이 들어갔는데? 어떻게 생각해? ",,얘,
그 뒤로도 계속 막 하니까.,"아, 그러면 니가 그래 인제 띄우되 힘을 많이 안 주는 그 손 모양을 했을 때 얘는 몰랐을 것 같애? 그렇게 니가 했으면? 알 수 있지 않았을까? 약간 손에 힘이 들어갔는데? 어떻게 생각해? 
음... 근데 모른 것 같애요. 
모른 것 같애? 어, 어떤 점 때문에 모른 것 같다고 생각했어? ",,얘,
"제 손 잡고,",너의 손에 대해서는 설명을 해줬는데 가해자 얘는 어땠는지? ,,가해자 얘,
제 손으로 그 만지게 하려고...,"너의 손에 대해서는 설명을 해줬는데 가해자 얘는 어땠는지? 
제 손 잡고,",,가해자 얘,
그러면 뭐 얘 손이 너를 어떻게 잡고 있었는지. 뭐 세기 같은 거? ,세게 잡고 있지는 않고,,얘 손,
"그러니까 돌면서 빠져나가고,","어, 그러면 그렇게 틀었을 때 얘 손은 어떻게 됐어? 트니까. ",,얘 손,
그래서 이렇게 여기를 막 비볐어요.,"아, 얘 손이 니 허리를 잡았어? 
예. 
어, 오케이. 그렇게 하고, ",,얘,
가슴을 옷 위에서 만졌다고 했는데 ,"걔가 이제 그러면 그렇게 해서 인제 30초간 그렇게 비비는 행동을 했어, 그지? 
그러고 난 다음에 어떻게 했어?
그 다음에",,걔,
이제 막 옷 안으로 손을 넣었어요.,"걔가 이제 그러면 그렇게 해서 인제 30초간 그렇게 비비는 행동을 했어, 그지? 
그러고 난 다음에 어떻게 했어?
그 다음에 가슴을 옷 위에서 만졌다고 했는데",,걔,
일어났어요.,제가 힘을 주다가 안 되겠다 하고,,제,
"막... 계속... ""괜찮아?"" ""괜찮아?"" 막 물어봤어요. ",그냥... 일어나니까 그 오빠가 좀 놀라면서,,그 오빠,
이렇게 옮기면서 ,그거 말고 또 얘가 한 거 행동 있어? ,,얘,
허리나 그런 데를 만지기도 했었어요,"그거 말고 또 얘가 한 거 행동 있어? 
이렇게 옮기면서 ",,얘,
가슴 만지고 허벅지를 만지려면은,"그거 말고 또 얘가 한 거 행동 있어? 
이렇게 옮기면서 허리나 그런 데를 만지기도 했었어요. 
'옮기면서' 라는 건 어떤 말이야? 
가슴으로... 만질... 때",,얘,
이렇게 만지고 뗐다가,"그거 말고 또 얘가 한 거 행동 있어? 
이렇게 옮기면서 허리나 그런 데를 만지기도 했었어요. 
'옮기면서' 라는 건 어떤 말이야? 
가슴으로... 만질... 때 가슴 만지고 허벅지를 만지려면은 이렇게 만지고 뗐다가",,얘,
쓸어서 내려왔어요.,"그거 말고 또 얘가 한 거 행동 있어? 
이렇게 옮기면서 허리나 그런 데를 만지기도 했었어요. 
'옮기면서' 라는 건 어떤 말이야? 
가슴으로... 만질... 때 가슴 만지고 허벅지를 만지려면은 이렇게 만지고 뗐다가 이렇게 만지고가 아니라 ",,얘,
만약에 상황을 해결하려고 저항했다가 ,그 다음에 나 혼자서 어떻게 이 상황을 해결하지? 라는 생각도 있었고 ,,나,
"잘못되면 어떡하나,",그 다음에 나 혼자서 어떻게 이 상황을 해결하지? 라는 생각도 있었고 만약에 상황을 해결하려고 저항했다가,,나,
위에 속옷을 입고 자면은 ,"제가 막... 속옷을 입고 자면은,",,제,
좀 답답하고 ,"제가 막... 속옷을 입고 자면은, 위에 속옷을 입고 자면은",,제,
잠을 제대로 못자서 ,"제가 막... 속옷을 입고 자면은, 위에 속옷을 입고 자면은 좀 답답하고",,제,
항상 벗고 자거든요.,"제가 막... 속옷을 입고 자면은, 위에 속옷을 입고 자면은 좀 답답하고 잠을 제대로 못자서",,제,
위에 검은 색 티셔츠 입고. ,"제가 막... 속옷을 입고 자면은, 위에 속옷을 입고 자면은 좀 답답하고 잠을 제대로 못자서 항상 벗고 자거든요. 물론 뭐... 다른 정말, 다른 사람들끼리 있을 때까지 그러진 않는데 그때는 가족들 집이었으니까, 하고",,제,
반팔 큰 거 입고 있었고.,"제가 막... 속옷을 입고 자면은, 위에 속옷을 입고 자면은 좀 답답하고 잠을 제대로 못자서 항상 벗고 자거든요. 물론 뭐... 다른 정말, 다른 사람들끼리 있을 때까지 그러진 않는데 그때는 가족들 집이었으니까, 하고 위에 검은 색 티셔츠 입고. ",,제,
정말 손만 이렇게 손만 넣어서,그리고 그 오빠가 이렇게 전체를 올려서 한 게 아니라 정,,그 오빠,
이렇게 돌고나서,아... 그게 제가 직접적으로 도움을 요청한 건 아닌데 이민혁 오빠한테 몸이 닿아있으면 함부로 못하겠다 싶어서,,제,
잠꼬대로 팔을 올렸어요.,아... 그게 제가 직접적으로 도움을 요청한 건 아닌데 이민혁 오빠한테 몸이 닿아있으면 함부로 못하겠다 싶어서 이렇게 돌고나서 ,,제,
옆으로 누워있었는지,이민혁 오빠가 천장을 보고 있었는지 ,,이민혁 오빠,
"그런데 정말 무슨 일 있는 거처럼 너무 과장을 표정이나 말이나,",일단은 어떻게 보면 그 오빠 입장에서는 제가 그냥 자다가 일어난 거잖아요.,,그 오빠,
"눈도 엄청 커지고 놀란 표정? 으로 ""괜찮아?"" ""괜찮아?"" 이렇게 했어요.","일단은 어떻게 보면 그 오빠 입장에서는 제가 그냥 자다가 일어난 거잖아요. 그런데 정말 무슨 일 있는 거처럼 너무 과장을 표정이나 말이나,
표정이랑 말이랑, 말은 아까 들었어. 표정은 어땠는데? 
막... 눈이 엄청 커져가지고, 그러니까 입도 막 이렇게 좀 벙찐 모양? ",,그 오빠,
"그게... 어... 제, 제 어깨를 눌렀다고 했잖아요.",아니면 얘는 누워있는 상태? ,,얘,
코를 골았거든요.,일단은 민혁 오빠가 제가 느끼기에는 너무 깊게 잠들어 있더라고요. ,,민혁 오빠,
만약에 도움을 요청을 했는데,"그래서 내가, 제, 일단은 제가 가... 어른 분들은 일단 정말 안 믿어주실 것 같았고 내가 가장 빠르게 도움을 요청할 수 있는 사람이 저는 이민혁 오빠라고 생각을 했어요. 그런데 그 오빠가 너무 깊게 잠들어 있으니까 ",,내,
만약에 실패한 거를 들키면,그래서 만약에 내가 도움을 요청했다가 실패하면 어떡하지?,,내,
그래서 화장실을 갔다가,"제가... 화장실에 가서, 일어난 다음에 그... 일단은 거실에는 두 오빠가 있잖아요. ",,제,
그렇게 당황을 했으니까.,그래서 화장실을 갔다가 그 오빠가 깨어있을 거 아니에요. ,,그 오빠,
일단 저 오빠랑 같은 공간에 있을 수는 없고 ,"제가... 화장실에 가서, 일어난 다음에 그... 일단은 거실에는 두 오빠가 있잖아요. 그래서 화장실을 갔다가 그 오빠가 깨어있을 거 아니에요. 그렇게 당황을 했으니까. 그래서",,제,
그렇다고 바로 나가기에는 그 오빠가 신경 쓰이고 해서 ,"제가... 화장실에 가서, 일어난 다음에 그... 일단은 거실에는 두 오빠가 있잖아요. 그래서 화장실을 갔다가 그 오빠가 깨어있을 거 아니에요. 그렇게 당황을 했으니까. 그래서 일단 저 오빠랑 같은 공간에 있을 수는 없고",,제,
"어른들이 계시는 안방으로 가자. 일단은 안전한 곳에 있자, 해서 ","제가... 화장실에 가서, 일어난 다음에 그... 일단은 거실에는 두 오빠가 있잖아요. 그래서 화장실을 갔다가 그 오빠가 깨어있을 거 아니에요. 그렇게 당황을 했으니까. 그래서 일단 저 오빠랑 같은 공간에 있을 수는 없고 그렇다고 바로 나가기에는 그 오빠가 신경 쓰이고 해서",,제,
안방으로 갔어요.,"제가... 화장실에 가서, 일어난 다음에 그... 일단은 거실에는 두 오빠가 있잖아요. 그래서 화장실을 갔다가 그 오빠가 깨어있을 거 아니에요. 그렇게 당황을 했으니까. 그래서 일단 저 오빠랑 같은 공간에 있을 수는 없고 그렇다고 바로 나가기에는 그 오빠가 신경 쓰이고 해서 어른들이 계시는 안방으로 가자. 일단은 안전한 곳에 있자, 해서",,제,
고. 살살 만지면서.,김구형 아저씨가 확 만졌다고 했어요. 무엇을 만졌어요? ,,김구형 아저씨,
여기 살짝 만졌어요. ,"응. 김구형이 지나갔고. 어 OO 씨는 간호사실에 지나갔다고 했어요. 맞아요? 
지나가다가 부딪히면서.
부딪히. 어디를 부딪혔는데? ",,김구형,
이렇게 했어요.,"아 그럼 김구형 씨가 한 행동을 이렇게 보여줄래요? 뒤돌아서. 다시 지나간다고 했어요. 어떻게 했다고요? 
아 고추 크네.
아 그렇게. 아 고추 크네. 그렇게 말했어요? 
예. 
그러면서 손은 어떻게 했어요? ",,김구형 씨,
옆쪽 걸었다가.,"그때 그러면 김구형 씨는 어디에서 어디로 걸어갔어요? 
나 바로 뒤 옆쪽.
옆쪽? ",,김구형 씨,
"택시타고 가니까, 택시타고 왔어요, 그때도. ","어... 선배가, 선배가 황금에 가서 술 묵자 캐서 황금까지 가가 술 묵고, 술 그때 많이 취했거든, 내가.",,내,
싫다고 뺐어요.,"뺐어요, 내가.",,내,
만졌어요. ,아저씨가 어떻게 했어요? ,,아저씨,
“만지기 싫다.” 했거든요.,"나한테 꼬추를 만지라 했어.
응? 남자 고추를 만지라고 했어요? 
지퍼 내렸어요, 지퍼, 자기 지퍼.
자크를 내렸어요? ",,나,
"잡았다고, 이렇게 잡아서...","아저씨가 누구한테? 
내보고. 
어, 그래서? 
그래서 만지지 말라 캤어요, 내가. 
손을 이렇게 잡아당긴 건 뭐예요? ",,아저씨,
"손, 손 넣어라 했어, 나한테. ","아저씨가 누구한테? 
내보고. 
어, 그래서? 
그래서 만지지 말라 캤어요, 내가. 
손을 이렇게 잡아당긴 건 뭐예요? 
잡았다고, 이렇게 잡아서...
잡아서? ",,아저씨,
"놓는 게 아니고, 이렇게 만지라 하던데 나보고.","아저씨가 누구한테? 
내보고. 
어, 그래서? 
그래서 만지지 말라 캤어요, 내가. 
손을 이렇게 잡아당긴 건 뭐예요? 
잡았다고, 이렇게 잡아서...
잡아서? 
손, 손 넣어라 했어, 나한테. 
손을 뭐 놓으라고 했다고요? ",,아저씨,
싫다 캤지요. ,그래서 ○○ 씨는 어떻게 했어요? ,,○○ 씨,
"못 봤어요, 아무것도 못 봤어요.",그때 ○○ 씨가 본 거 다 이야기해줘요. ,,○○ 씨,
기분 안 좋은데,"내가 만지기, 내가 거기서 기분이 안 좋았거든요. ",,내,
계속 괴롭히고 ,"아저씨가? 왜? 
내가 만지기, 내가 거기서 기분이 안 좋았거든요. 기분 안 좋은데",,아저씨,
옆에서 지껄이고.,"아저씨가? 왜? 
내가 만지기, 내가 거기서 기분이 안 좋았거든요. 기분 안 좋은데 계속 괴롭히고",,아저씨,
못 봤어요.,그러면 그래서 고추를 ○○ 씨가 봤어요? ,,○○ 씨,
"사람 본다고 올려라 캤어요, 사람 본다.","그러면 그래서 고추를 ○○ 씨가 봤어요? 
못 봤어요.
왜요? ",,○○ 씨,
"네, 못 봤어요. ",근데 ○○ 씨는 고추를 못 봤다고 했어요. ,,○○ 씨,
팬티만 봤어요.,그러면 ○○ 씨가 본 거는 뭐예요? ,,○○ 씨,
만지지 말라고.,"남자 거시기 만져라 캤는데, 내가 손 빼라 했어요,",,내,
만져보라 캤는데요. ,이렇게 앉아서 아저씨가 어떻게 하든가요? 그 고추 이야기하면서? ,,아저씨,
"연애 좀 해봐라 카면서, ","이렇게 앉아서 아저씨가 어떻게 하든가요? 그 고추 이야기하면서? 
만져보라 캤는데요. 
응, 그래서? 
내가 손 놨어요, 이렇게 싫다고.
이렇게 했어요? 
네. 
그랬더니?",,아저씨,
연애 한번 해봤냐 그러던데..,"이렇게 앉아서 아저씨가 어떻게 하든가요? 그 고추 이야기하면서? 
만져보라 캤는데요. 
응, 그래서? 
내가 손 놨어요, 이렇게 싫다고.
이렇게 했어요? 
네. 
그랬더니? 
연애 좀 해봐라 카면서,",,아저씨,
"안 해봤다 캤지요, ","네, 내보고. 
그래서 뭐라고 했어요? ",,내,
아직 남자도 없는데.,"네, 내보고. 
그래서 뭐라고 했어요? 
안 해봤다 캤지요, ",,내,
"일단 부대까지 태워줬어요, 부대까지.","그러면 또, 또 그 차 안에서 아저씨가 뭐래요? 
음…",,아저씨,
바쁘다고 부대대학교에 앞에.,"그러면 또, 또 그 차 안에서 아저씨가 뭐래요? 
음... 일단 부대까지 태워줬어요, 부대까지. ",,아저씨,
세워서,"그러면 또, 또 그 차 안에서 아저씨가 뭐래요? 
음... 일단 부대까지 태워줬어요, 부대까지. 바쁘다고 부대대학교에 앞에.
부대대학교에? 
버스정류장에. 
대학교 버스정류장에? ",,아저씨,
"바빠서, 바빠서 못 태워준다고.","그러면 또, 또 그 차 안에서 아저씨가 뭐래요? 
음... 일단 부대까지 태워줬어요, 부대까지. 바쁘다고 부대대학교에 앞에.
부대대학교에? 
버스정류장에. 
대학교 버스정류장에? 
세워서 나는 버스타고 갔어요, 거기서.
거기서 버스타고 갔어요? 
네. ",,아저씨,
"만질라 하는 거예요, 여기 밑에..",손 뗐어요? 아저씨가 어디 만지고 있었는데? ,,아저씨,
“빨아 먹고 싶다.” 하던데요?,그리고 “잠지 맛있겠다.” 라고 할 때 그때 아저씨 행동을 좀 더 말해줘요. ,,아저씨,
“잠지 빨아먹고 싶다.” 하던데요?,"그리고 “잠지 맛있겠다.” 라고 할 때 그때 아저씨 행동을 좀 더 말해줘요. 
“빨아 먹고 싶다.” 하던데요?
어? ",,아저씨,
